Country or Area,Year,Quantity
Argentina,2015,7139
Armenia,2015,2788
Belgium,2015,26103
Brazil,2015,14734
Bulgaria,2015,15383
Canada,2015,101423
China,2015,170789
Czechia,2015,26841
Finland,2015,23245
France,2015,437428
Germany,2015,91786
Hungary,2015,15834
India,2015,37414
Iran,2015,2914
Japan,2015,9437
Korea,2015,164762
Mexico,2015,11577
Netherlands,2015,4077
Pakistan,2015,4602
Romania,2015,11640
Russian Federation,2015,195470
Slovakia,2015,15146
Slovenia,2015,5648
South Africa,2015,12237
Spain,2015,57305
Sweden,2015,56348
Switzerland,2015,23089
Ukraine,2015,87627
United Kingdom,2015,70345
United States,2015,830288